#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
19	0.84	7.5918701e+48	7.3639396e+48	1.6027137e+48	1.5938186e+48	6.3771709e+48	6.1857093e+48	1.3462795e+48	1.3388076e+48
19	0.86	7.4555095e+48	7.1620134e+48	1.5678418e+48	1.5563879e+48	6.4117382e+48	6.1593316e+48	1.3483439e+48	1.3384936e+48
19	0.88	7.2842578e+48	6.9363957e+48	1.5264908e+48	1.5129152e+48	6.4101469e+48	6.1040282e+48	1.3433119e+48	1.3313654e+48
19	0.9	7.0957188e+48	6.7018452e+48	1.4821748e+48	1.4668036e+48	6.3861469e+48	6.0316607e+48	1.3339573e+48	1.3201232e+48
19	0.92	6.8934805e+48	6.4622221e+48	1.4356844e+48	1.4188542e+48	6.3420021e+48	5.9452444e+48	1.3208296e+48	1.3053458e+48
19	0.94	6.6709608e+48	6.207346e+48	1.3852984e+48	1.3672055e+48	6.2707032e+48	5.8349053e+48	1.3021805e+48	1.2851731e+48
19	0.96	6.4386416e+48	5.9486232e+48	1.333338e+48	1.3142146e+48	6.1810959e+48	5.7106782e+48	1.2800044e+48	1.261646e+48
19	0.98	6.1925469e+48	5.6871754e+48	1.2793986e+48	1.259676e+48	6.068696e+48	5.5734319e+48	1.2538106e+48	1.2344825e+48
19	1	5.9422029e+48	5.4262093e+48	1.2249642e+48	1.2048271e+48	5.9422029e+48	5.4262093e+48	1.2249642e+48	1.2048271e+48
19	1.02	5.6903882e+48	5.1670505e+48	1.1705019e+48	1.1500782e+48	5.804196e+48	5.2703915e+48	1.1939119e+48	1.1730797e+48
19	1.04	5.4383845e+48	4.9143375e+48	1.1165787e+48	1.0961273e+48	5.6559199e+48	5.110911e+48	1.1612418e+48	1.1399724e+48
19	1.06	5.1800773e+48	4.6557794e+48	1.0613483e+48	1.0408872e+48	5.4908819e+48	4.9351262e+48	1.1250292e+48	1.1033404e+48
19	1.08	4.9275841e+48	4.4101748e+48	1.0079842e+48	9.8779191e+47	5.3217908e+48	4.7629888e+48	1.088623e+48	1.0668153e+48
19	1.1	4.6766565e+48	4.1711388e+48	9.5539179e+47	9.3566355e+47	5.1443222e+48	4.5882527e+48	1.050931e+48	1.0292299e+48
19	1.12	4.4334546e+48	3.9361859e+48	9.0413237e+47	8.8472606e+47	4.9654692e+48	4.4085282e+48	1.0126283e+48	9.9089319e+47
19	1.14	4.1924817e+48	3.7094043e+48	8.5386846e+47	8.3501596e+47	4.7794292e+48	4.2287209e+48	9.7341004e+47	9.519182e+47
19	1.16	3.9555221e+48	3.4915234e+48	8.0488922e+47	7.8678129e+47	4.5884056e+48	4.0501671e+48	9.3367149e+47	9.126663e+47
19	1.18	3.7273798e+48	3.2805768e+48	7.5763005e+47	7.4019321e+47	4.3983081e+48	3.8710807e+48	8.9400346e+47	8.7342799e+47
19	1.2	3.5081731e+48	3.0777729e+48	7.1221145e+47	6.9541473e+47	4.2098077e+48	3.6933275e+48	8.5465374e+47	8.3449768e+47
19	1.22	3.2971752e+48	2.8864814e+48	6.6883588e+47	6.5280823e+47	4.0225537e+48	3.5215073e+48	8.1597977e+47	7.9642604e+47
19	1.24	3.093884e+48	2.7026749e+48	6.2708814e+47	6.1182089e+47	3.8364161e+48	3.3513169e+48	7.775893e+47	7.5865791e+47
19	1.26	2.9016604e+48	2.527882e+48	5.8752647e+47	5.7293947e+47	3.6560921e+48	3.1851313e+48	7.4028335e+47	7.2190373e+47
19	1.28	2.7136142e+48	2.3620464e+48	5.4927518e+47	5.3555495e+47	3.4734262e+48	3.0234193e+48	7.0307223e+47	6.8551033e+47
19	1.3	2.5377e+48	2.2054942e+48	5.1336804e+47	5.0040344e+47	3.29901e+48	2.8671424e+48	6.6737845e+47	6.5052447e+47
19	1.32	2.369289e+48	2.0558295e+48	4.790108e+47	4.6677779e+47	3.1274615e+48	2.7136949e+48	6.3229426e+47	6.1614668e+47
19	1.34	2.2098214e+48	1.9165389e+48	4.4669002e+47	4.3524444e+47	2.9611606e+48	2.5681622e+48	5.9856463e+47	5.8322755e+47
19	1.36	2.0596454e+48	1.7821194e+48	4.1596901e+47	4.0513833e+47	2.8011177e+48	2.4236824e+48	5.6571786e+47	5.5098813e+47
19	1.38	1.9154042e+48	1.6567013e+48	3.8678434e+47	3.7668825e+47	2.6432578e+48	2.2862478e+48	5.3376239e+47	5.1982979e+47
19	1.4	1.7827285e+48	1.5404067e+48	3.5985826e+47	3.5040145e+47	2.4958199e+48	2.1565694e+48	5.0380156e+47	4.9056204e+47
19	1.42	1.6545597e+48	1.4291047e+48	3.3393787e+47	3.2513931e+47	2.3494748e+48	2.0293286e+48	4.7419177e+47	4.6169781e+47
19	1.44	1.5355621e+48	1.3268123e+48	3.0996354e+47	3.0181691e+47	2.2112094e+48	1.9106096e+48	4.4634749e+47	4.3461635e+47
19	1.46	1.4236681e+48	1.2294322e+48	2.8731607e+47	2.7973586e+47	2.0785554e+48	1.794971e+48	4.1948146e+47	4.0841435e+47
19	1.48	1.3198533e+48	1.1391264e+48	2.6630759e+47	2.5925458e+47	1.9533828e+48	1.6859071e+48	3.9413524e+47	3.8369678e+47
19	1.5	1.2214352e+48	1.0532058e+48	2.4636422e+47	2.3979893e+47	1.8321529e+48	1.5798086e+48	3.6954633e+47	3.5969839e+47
19	1.52	1.1303215e+48	9.7479553e+47	2.2800001e+47	2.2193048e+47	1.7180887e+48	1.4816892e+48	3.4656001e+47	3.3733433e+47
