#	profile	energy	nuELumNum	nuEBarLumNum	nuELumEnergy	nuEBarLumEnergy
19	0.76	1.2273845e+47	6.9794956e+45	9.3281225e+46	5.3044167e+45
19	0.77	1.2352034e+47	7.0866989e+45	9.5110661e+46	5.4567581e+45
19	0.78	1.2430608e+47	7.1926563e+45	9.6958745e+46	5.6102719e+45
19	0.79	1.2509699e+47	7.2972777e+45	9.8826625e+46	5.7648494e+45
19	0.8	1.2589426e+47	7.4007723e+45	1.007154e+47	5.9206178e+45
19	0.81	1.2669899e+47	7.5028267e+45	1.0262618e+47	6.0772896e+45
19	0.82	1.2751338e+47	7.603735e+45	1.0456097e+47	6.2350627e+45
19	0.83	1.2852727e+47	7.7032549e+45	1.0667763e+47	6.3937016e+45
19	0.84	1.3129168e+47	7.8018214e+45	1.1028501e+47	6.55353e+45
19	0.85	1.3347957e+47	7.898927e+45	1.1345764e+47	6.7140879e+45
19	0.86	1.3538666e+47	7.9945273e+45	1.1643252e+47	6.8752935e+45
19	0.87	1.3712384e+47	8.088487e+45	1.1929774e+47	7.0369837e+45
19	0.88	1.3877783e+47	8.1810713e+45	1.2212449e+47	7.1993427e+45
19	0.89	1.4037682e+47	8.2719534e+45	1.2493537e+47	7.3620386e+45
19	0.9	1.4193494e+47	8.361214e+45	1.2774145e+47	7.5250926e+45
19	0.91	1.4346018e+47	8.4486518e+45	1.3054876e+47	7.6882731e+45
19	0.92	1.4495726e+47	8.5349783e+45	1.3336068e+47	7.85218e+45
19	0.93	1.4642916e+47	8.6195558e+45	1.3617912e+47	8.0161869e+45
19	0.94	1.4787776e+47	8.7023027e+45	1.3900509e+47	8.1801645e+45
19	0.95	1.4930513e+47	8.7831873e+45	1.4183988e+47	8.3440279e+45
19	0.96	1.5071954e+47	8.8625297e+45	1.4469076e+47	8.5080286e+45
19	0.97	1.5211085e+47	8.9399371e+45	1.4754752e+47	8.671739e+45
19	0.98	1.534803e+47	9.0154641e+45	1.5041069e+47	8.8351548e+45
19	0.99	1.5482941e+47	9.0892203e+45	1.5328112e+47	8.9983281e+45
19	1	1.561589e+47	9.1609829e+45	1.561589e+47	9.1609829e+45
19	1.01	1.5746938e+47	9.2305848e+45	1.5904407e+47	9.3228906e+45
19	1.02	1.5876147e+47	9.2986177e+45	1.619367e+47	9.4845901e+45
19	1.03	1.6003581e+47	9.3645493e+45	1.6483689e+47	9.6454858e+45
19	1.04	1.6129308e+47	9.4282834e+45	1.677448e+47	9.8054148e+45
19	1.05	1.6253414e+47	9.4897733e+45	1.7066084e+47	9.964262e+45
19	1.06	1.6375967e+47	9.5490554e+45	1.7358525e+47	1.0121999e+46
19	1.07	1.6497074e+47	9.6056887e+45	1.7651869e+47	1.0278087e+46
19	1.08	1.6616843e+47	9.6592066e+45	1.794619e+47	1.0431943e+46
19	1.09	1.6735341e+47	9.7091301e+45	1.8241522e+47	1.0582952e+46
19	1.1	1.6852648e+47	9.7593382e+45	1.8537913e+47	1.0735272e+46
19	1.11	1.696887e+47	9.8082207e+45	1.8835445e+47	1.0887125e+46
19	1.12	1.7084095e+47	9.8560247e+45	1.9134186e+47	1.1038748e+46
19	1.13	1.7198423e+47	9.9015318e+45	1.9434218e+47	1.1188731e+46
19	1.14	1.7311948e+47	9.9447917e+45	1.9735621e+47	1.1337063e+46
19	1.15	1.7425075e+47	9.9867005e+45	2.0038836e+47	1.1484706e+46
19	1.16	1.7538217e+47	1.0030269e+46	2.0344331e+47	1.1635112e+46
19	1.17	1.7650568e+47	1.0072229e+46	2.0651164e+47	1.1784507e+46
19	1.18	1.7762446e+47	1.0111979e+46	2.0959686e+47	1.1932135e+46
19	1.19	1.7873962e+47	1.0149563e+46	2.1270015e+47	1.207798e+46
19	1.2	1.7985216e+47	1.018526e+46	2.158226e+47	1.2222312e+46
19	1.21	1.8096392e+47	1.0218762e+46	2.1896634e+47	1.2364702e+46
19	1.22	1.8209037e+47	1.0250045e+46	2.2215025e+47	1.2505055e+46
19	1.23	1.8321651e+47	1.0279154e+46	2.253563e+47	1.2643359e+46
19	1.24	1.8433305e+47	1.0305775e+46	2.2857298e+47	1.2779161e+46
19	1.25	1.8544056e+47	1.0330425e+46	2.318007e+47	1.2913031e+46
19	1.26	1.8654428e+47	1.0352942e+46	2.3504579e+47	1.3044707e+46
19	1.27	1.8764605e+47	1.0373079e+46	2.3831048e+47	1.317381e+46
19	1.28	1.8874697e+47	1.0390825e+46	2.4159612e+47	1.3300256e+46
19	1.29	1.8984778e+47	1.0406046e+46	2.4490364e+47	1.3423799e+46
19	1.3	1.9094908e+47	1.0419013e+46	2.4823381e+47	1.3544717e+46
19	1.31	1.9205274e+47	1.0429433e+46	2.5158908e+47	1.3662558e+46
19	1.32	1.9316482e+47	1.0437337e+46	2.5497756e+47	1.3777285e+46
19	1.33	1.9427853e+47	1.0442491e+46	2.5839044e+47	1.3888512e+46
19	1.34	1.9539509e+47	1.0445026e+46	2.6182942e+47	1.3996335e+46
19	1.35	1.9651759e+47	1.0444583e+46	2.6529875e+47	1.4100187e+46
19	1.36	1.9763842e+47	1.044106e+46	2.6878825e+47	1.4199842e+46
19	1.37	1.9875885e+47	1.0434113e+46	2.7229963e+47	1.4294735e+46
19	1.38	1.9987989e+47	1.0423301e+46	2.7583424e+47	1.4384155e+46
19	1.39	2.0100167e+47	1.0408262e+46	2.7939233e+47	1.4467484e+46
19	1.4	2.0212422e+47	1.0387982e+46	2.8297391e+47	1.4543175e+46
19	1.41	2.0324749e+47	1.0361282e+46	2.8657896e+47	1.4609407e+46
19	1.42	2.0437134e+47	1.0324271e+46	2.902073e+47	1.4660465e+46
19	1.43	2.0549561e+47	1.025924e+46	2.9385872e+47	1.4670713e+46
19	1.44	2.066201e+47	1.0201093e+46	2.9753294e+47	1.4689574e+46
19	1.45	2.0774457e+47	1.0164437e+46	3.0122963e+47	1.4738433e+46
19	1.46	2.088688e+47	1.0147152e+46	3.0494845e+47	1.4814842e+46
19	1.47	2.0999251e+47	1.0141034e+46	3.0868898e+47	1.490732e+46
19	1.48	2.1111542e+47	1.0138057e+46	3.1245082e+47	1.5004325e+46
19	1.49	2.1223725e+47	1.0137011e+46	3.162335e+47	1.5104146e+46
19	1.5	2.1335769e+47	1.0139103e+46	3.2003653e+47	1.5208654e+46
19	1.51	2.1447644e+47	1.0142133e+46	3.2385942e+47	1.531462e+46
19	1.52	2.1559317e+47	1.0144389e+46	3.2770162e+47	1.5419471e+46
19	1.53	2.1670757e+47	1.0148288e+46	3.3156258e+47	1.5526881e+46
19	1.54	2.1781931e+47	1.0151354e+46	3.3544173e+47	1.5633085e+46
19	1.55	2.1892805e+47	1.0152731e+46	3.3933848e+47	1.5736733e+46
19	1.56	2.2003346e+47	1.0152421e+46	3.432522e+47	1.5837777e+46
19	1.57	2.2113525e+47	1.0150138e+46	3.4718234e+47	1.5935717e+46
19	1.58	2.2223323e+47	1.014613e+46	3.5112851e+47	1.6030885e+46
19	1.59	2.2332867e+47	1.0140217e+46	3.5509259e+47	1.6122946e+46
19	1.6	2.2442227e+47	1.013266e+46	3.5907564e+47	1.6212256e+46
19	1.61	2.2551154e+47	1.0123097e+46	3.6307358e+47	1.6298187e+46
19	1.62	2.2659654e+47	1.0110813e+46	3.670864e+47	1.6379516e+46
19	1.63	2.2767987e+47	1.0096476e+46	3.7111818e+47	1.6457257e+46
19	1.64	2.2876722e+47	1.0081468e+46	3.7517824e+47	1.6533607e+46
19	1.65	2.2984176e+47	1.0063625e+46	3.792389e+47	1.6604982e+46
19	1.66	2.309137e+47	1.0046719e+46	3.8331674e+47	1.6677553e+46
19	1.67	2.3197868e+47	1.0030234e+46	3.8740439e+47	1.6750491e+46
19	1.68	2.3303419e+47	1.0012312e+46	3.9149743e+47	1.6820684e+46
19	1.69	2.3408127e+47	9.9927055e+45	3.9559734e+47	1.6887672e+46
19	1.7	2.3511591e+47	9.971434e+45	3.9969705e+47	1.6951438e+46
19	1.71	2.3613984e+47	9.9485223e+45	4.0379913e+47	1.7011973e+46
19	1.72	2.3715341e+47	9.9239486e+45	4.0790386e+47	1.7069192e+46
19	1.73	2.3815663e+47	9.8976962e+45	4.1201097e+47	1.7123014e+46
19	1.74	2.3914941e+47	9.86981e+45	4.1611998e+47	1.7173469e+46
19	1.75	2.401316e+47	9.840268e+45	4.2023031e+47	1.7220469e+46
19	1.76	2.4110304e+47	9.8090481e+45	4.2434135e+47	1.7263925e+46
19	1.77	2.4206352e+47	9.7761993e+45	4.2845243e+47	1.7303873e+46
19	1.78	2.4301285e+47	9.741734e+45	4.3256287e+47	1.7340287e+46
19	1.79	2.439508e+47	9.7055902e+45	4.3667194e+47	1.7373007e+46
19	1.8	2.4487717e+47	9.6678607e+45	4.4077891e+47	1.7402149e+46
19	1.81	2.4579177e+47	9.6285251e+45	4.4488311e+47	1.742763e+46
19	1.82	2.4669438e+47	9.5875719e+45	4.4898377e+47	1.7449381e+46
19	1.83	2.475848e+47	9.5449894e+45	4.5308018e+47	1.7467331e+46
19	1.84	2.4846279e+47	9.5007722e+45	4.5717154e+47	1.7481421e+46
19	1.85	2.4932817e+47	9.454926e+45	4.6125711e+47	1.7491613e+46
19	1.86	2.5018072e+47	9.4074958e+45	4.6533614e+47	1.7497942e+46
19	1.87	2.5102029e+47	9.3584294e+45	4.6940794e+47	1.7500263e+46
19	1.88	2.5184667e+47	9.3076805e+45	4.7347175e+47	1.7498439e+46
19	1.89	2.5265963e+47	9.2551291e+45	4.7752671e+47	1.7492194e+46
19	1.9	2.5345902e+47	9.2004591e+45	4.8157215e+47	1.7480872e+46
19	1.91	2.5424461e+47	9.1454718e+45	4.8560721e+47	1.7467851e+46
19	1.92	2.5501624e+47	9.0897144e+45	4.8963117e+47	1.7452252e+46
19	1.93	2.5577368e+47	9.0324825e+45	4.9364321e+47	1.7432691e+46
19	1.94	2.5651683e+47	8.9737498e+45	4.9764266e+47	1.7409075e+46
19	1.95	2.5724544e+47	8.9135226e+45	5.0162861e+47	1.7381369e+46
19	1.96	2.5795935e+47	8.8518017e+45	5.0560033e+47	1.7349531e+46
19	1.97	2.5865843e+47	8.7886574e+45	5.0955711e+47	1.7313655e+46
19	1.98	2.5934243e+47	8.7240404e+45	5.1349802e+47	1.72736e+46
19	1.99	2.600112e+47	8.6580033e+45	5.174223e+47	1.7229427e+46
19	2	2.6066459e+47	8.5905139e+45	5.2132918e+47	1.7181028e+46
19	2.01	2.6130243e+47	8.5215729e+45	5.2521789e+47	1.7128362e+46
19	2.02	2.6192459e+47	8.4512241e+45	5.2908767e+47	1.7071473e+46
19	2.03	2.6253091e+47	8.379423e+45	5.3293774e+47	1.7010229e+46
19	2.04	2.6312126e+47	8.3061422e+45	5.3676737e+47	1.694453e+46
19	2.05	2.6369547e+47	8.231199e+45	5.4057571e+47	1.6873958e+46
19	2.06	2.6425339e+47	8.1551074e+45	5.4436199e+47	1.6799521e+46
19	2.07	2.6479494e+47	8.0781404e+45	5.4812552e+47	1.6721751e+46
19	2.08	2.6531996e+47	7.9998532e+45	5.5186552e+47	1.6639695e+46
19	2.09	2.6582831e+47	7.9201142e+45	5.5558116e+47	1.6553039e+46
19	2.1	2.6631985e+47	7.8393296e+45	5.5927169e+47	1.6462592e+46
19	2.11	2.6679449e+47	7.7572331e+45	5.6293638e+47	1.6367762e+46
19	2.12	2.6725214e+47	7.6738277e+45	5.6657453e+47	1.6268515e+46
19	2.13	2.676926e+47	7.5890766e+45	5.7018523e+47	1.6164733e+46
19	2.14	2.6811581e+47	7.5030248e+45	5.7376784e+47	1.6056473e+46
19	2.15	2.6852167e+47	7.4154543e+45	5.7732159e+47	1.5943227e+46
19	2.16	2.6891004e+47	7.324969e+45	5.808457e+47	1.5821933e+46
19	2.17	2.6928088e+47	7.2362725e+45	5.843395e+47	1.5702711e+46
19	2.18	2.6963437e+47	7.1464447e+45	5.8780293e+47	1.557925e+46
19	2.19	2.6996997e+47	7.0552771e+45	5.9123423e+47	1.5451057e+46
19	2.2	2.7028764e+47	6.96257e+45	5.9463282e+47	1.5317654e+46
19	2.21	2.7058724e+47	6.8684032e+45	5.9799781e+47	1.5179171e+46
19	2.22	2.7086864e+47	6.7744764e+45	6.0132837e+47	1.5039338e+46
19	2.23	2.7113155e+47	6.6790317e+45	6.0462337e+47	1.4894241e+46
19	2.24	2.7137546e+47	6.5825951e+45	6.0788102e+47	1.4745013e+46
19	2.25	2.7160386e+47	6.4851322e+45	6.1110869e+47	1.4591548e+46
19	2.26	2.7181526e+47	6.3868621e+45	6.1430249e+47	1.4434308e+46
19	2.27	2.7200834e+47	6.288648e+45	6.1745893e+47	1.4275231e+46
19	2.28	2.7218299e+47	6.1891199e+45	6.2057721e+47	1.4111193e+46
19	2.29	2.7233927e+47	6.0884858e+45	6.2365693e+47	1.3942633e+46
19	2.3	2.7247704e+47	5.9872662e+45	6.266972e+47	1.3770712e+46
19	2.31	2.7259621e+47	5.8842265e+45	6.2969724e+47	1.3592563e+46
19	2.32	2.726968e+47	5.7810993e+45	6.3265658e+47	1.341215e+46
19	2.33	2.7277885e+47	5.6775039e+45	6.3557473e+47	1.3228584e+46
19	2.34	2.7284235e+47	5.5718074e+45	6.3845109e+47	1.3038029e+46
19	2.35	2.7288712e+47	5.4666037e+45	6.4128473e+47	1.2846519e+46
19	2.36	2.7291271e+47	5.3617167e+45	6.44074e+47	1.2653651e+46
