#	profile	energy	nuELumNum	nuEBarLumNum	nuMuLumNum	nuMuBarLumNum	nuELumEnergy	nuEBarLumEnergy	nuMuLumEnergy	nuMuBarLumEnergy
59	0	0	0	0	0	0	0	0	0
59	0.02	0	0	0	0	0	0	0	0
59	0.04	0	0	0	0	0	0	0	0
59	0.06	9.7570538e+33	1.0547443e+34	2.1544357e+33	2.1852813e+33	5.8542323e+32	6.3284661e+32	1.2926614e+32	1.3111688e+32
59	0.08	3.2845997e+38	3.3233395e+38	7.0540749e+37	7.0691933e+37	2.6276797e+37	2.6586716e+37	5.6432599e+36	5.6553547e+36
59	0.1	4.8731664e+40	5.4077879e+40	1.0882515e+40	1.1091155e+40	4.8731664e+39	5.4077879e+39	1.0882515e+39	1.1091155e+39
59	0.12	1.1684039e+42	1.5510962e+42	2.831544e+41	2.9808928e+41	1.4020846e+41	1.8613155e+41	3.3978528e+40	3.5770713e+40
59	0.14	1.0258909e+43	1.731849e+43	2.8093309e+42	3.0848367e+42	1.4362473e+42	2.4245886e+42	3.9330632e+41	4.3187714e+41
59	0.16	5.0474779e+43	1.0538284e+44	1.558445e+43	1.7727282e+43	8.0759646e+42	1.6861254e+43	2.493512e+42	2.836365e+42
59	0.18	1.7086163e+44	4.2758136e+44	5.8943806e+43	6.8962501e+43	3.0755093e+43	7.6964646e+43	1.0609885e+43	1.241325e+43
59	0.2	4.6136516e+44	1.2984716e+45	1.7173217e+44	2.0440093e+44	9.2273033e+43	2.5969433e+44	3.4346435e+43	4.0880186e+43
59	0.22	1.0401475e+45	3.1912979e+45	4.1022205e+44	4.9417243e+44	2.2883245e+44	7.0208554e+44	9.0248851e+43	1.0871794e+44
59	0.24	2.1217381e+45	6.7083355e+45	8.5413598e+44	1.0331317e+45	5.0921715e+44	1.6100005e+45	2.0499264e+44	2.479516e+44
59	0.26	3.9191033e+45	1.2424047e+46	1.5805694e+45	1.9124816e+45	1.0189668e+45	3.2302521e+45	4.1094803e+44	4.9724523e+44
59	0.28	6.7304682e+45	2.0916871e+46	2.67774e+45	3.2313759e+45	1.8845311e+45	5.8567239e+45	7.4976721e+44	9.0478524e+44
59	0.3	1.0921853e+46	3.2668871e+46	4.2340147e+45	5.0827096e+45	3.2765559e+45	9.8006612e+45	1.2702044e+45	1.5248129e+45
59	0.32	1.673842e+46	4.7808821e+46	6.2916256e+45	7.5041732e+45	5.3562943e+45	1.5298823e+46	2.0133202e+45	2.4013354e+45
59	0.34	2.4428781e+46	6.6429691e+46	8.8901131e+45	1.0529233e+46	8.3057855e+45	2.2586095e+46	3.0226385e+45	3.5799391e+45
59	0.36	3.4251476e+46	8.8308029e+46	1.2042632e+46	1.4152233e+46	1.2330531e+46	3.179089e+46	4.3353476e+45	5.0948038e+45
59	0.38	4.6351315e+46	1.1308224e+47	1.5735897e+46	1.8340125e+46	1.76135e+46	4.2971251e+46	5.9796409e+45	6.9692477e+45
59	0.4	6.0568089e+46	1.405804e+47	1.9934642e+46	2.3057188e+46	2.4227235e+46	5.6232158e+46	7.973857e+45	9.222875e+45
59	0.42	7.7125961e+46	1.6929085e+47	2.4535151e+46	2.813196e+46	3.2392903e+46	7.1102157e+46	1.0304763e+46	1.1815423e+46
59	0.44	9.5529056e+46	1.991012e+47	2.9464936e+46	3.3506923e+46	4.2032785e+46	8.7604527e+46	1.2964572e+46	1.4743046e+46
59	0.46	1.1570037e+47	2.2922668e+47	3.4645713e+46	3.9076169e+46	5.3222168e+46	1.0544427e+47	1.5937028e+46	1.7975038e+46
59	0.48	1.3767052e+47	2.5901952e+47	4.0024769e+46	4.4760512e+46	6.608185e+46	1.2432937e+47	1.9211889e+46	2.1485046e+46
59	0.5	1.6037201e+47	2.8764214e+47	4.5394028e+46	5.0360847e+46	8.0186005e+46	1.4382107e+47	2.2697014e+46	2.5180424e+46
59	0.52	1.8410736e+47	3.1508445e+47	5.0790842e+46	5.5902329e+46	9.5735827e+46	1.6384392e+47	2.6411238e+46	2.9069211e+46
59	0.54	2.0791087e+47	3.3974681e+47	5.5953432e+46	6.1098436e+46	1.1227187e+47	1.8346328e+47	3.0214853e+46	3.2993156e+46
59	0.56	2.318928e+47	3.6241039e+47	6.0963971e+46	6.6057526e+46	1.2985997e+47	2.0294982e+47	3.4139824e+46	3.6992214e+46
59	0.58	2.5547654e+47	3.824037e+47	6.5690931e+46	7.0644367e+46	1.4817639e+47	2.2179415e+47	3.810074e+46	4.0973733e+46
59	0.6	2.7843876e+47	3.9951761e+47	7.0087821e+46	7.4813021e+46	1.6706325e+47	2.3971057e+47	4.2052692e+46	4.4887813e+46
